    SP       PC       OPC      Rd       Rt       Rs      Shamt     FC   
     0      0000     00001    0110      0000    0000      0101    0111
     0      0000     00001    0110      0000    0000      0101    0111
     0      0001     00001    1000      0000    0000      0101    1010
     0      0001     00001    1000      0000    0000      0101    1010
     0      0002     00000    1000      0010    0011      0000    0000
     0      0003     00000    0001      0010    0011      0000    0001
     0      0004     10100    0000      0000    0000      0000    1001
     0      0005     00001    0110      0000    0000      0101    0111
     1      0008     00000    1000      0010    0011      0000    0000
     1      0009     00000    0001      0010    0011      0000    0001
     1      000A     00001    0110      0000    0000      0101    0111
     1      000B     10101    0000      0000    0000      0000    0000
     0      0004     10100    0000      0000    0000      0000    1001
     0      0005     00001    0110      0000    0000      0101    0111
     0      0006     00001    1000      0000    0000      0101    1010
     0      0007     10100    0000      0000    0000      0000    1101
     0      0008     00000    1000      0010    0011      0000    0000
     1      000C     00000    0001      0010    0011      0000    0001
     1      000D     00001    0110      0000    0000      0101    0111
     0      0007     10100    0000      0000    0000      0000    1101
     0      0008     00000    1000      0010    0011      0000    0000
     0      0009     00000    0001      0010    0011      0000    0001
     0      000A     00001    0110      0000    0000      0101    0111
     0      000B     10101    0000      0000    0000      0000    0000
     0      000C     00000    0001      0010    0011      0000    0001
     0      000D     00001    0110      0000    0000      0101    0111
     0      000E     10101    0000      0000    0000      0000    0000
     0      000F     10011    0000      0000    0000      0001    0010
     0      0011     10110    0000      0000    0000      0000    0000
     0      0012     10011    0000      0000    0000      0001    0001
     0      0010     10110    0000      0000    0000      0000    0000
     0      0011     10110    0000      0000    0000      0000    0000
