       PC   OPCODE 19...16  15...12  11...8   7...4    3...0   
        0    00001    0000     0000    0000    0000     0000
        1    00001    0001     0000    0000    0000     0001
        2    00001    0010     0000    0000    0000     0000
        3    00001    0011     0000    0000    0000     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        4    00000    0100     0000    0001    0000     0000
        5    00011    0100     0000    0000    0100     1000
        6    00101    0000     0001    0000    0000     0000
        7    00101    0010     0010    0000    0000     0001
        8    01110    0011     0010    1111    1111     1100
        9    10110    0000     0000    0000    0000     0000
       10    10011    0000     0000    0000    0000     1001
        9    10110    0000     0000    0000    0000     0000
       10    10011    0000     0000    0000    0000     1001
        9    10110    0000     0000    0000    0000     0000
       10    10011    0000     0000    0000    0000     1001
       10    10011    0000     0000    0000    0000     1001
